俳句,作者,季語,季節,出典,前書,評言,評者,備考
柿くへば鐘が鳴るなり法隆寺,正岡子規,柿,秋,寒山落木,法隆寺の茶店に憩ひて,学校の教科書にもでてくるこの著名な句には「法隆寺の茶店に憩ひて」と前書きがついています。明治二十八年十月、病後の体を休めていた松山を立って、子規は上京の途につきます。途中須磨・大阪に寄って奈良に入りました。大阪では腰が痛み出し歩行困難になりましたが医師の処方で軽快し、念願の奈良に赴いたのです。。このときの腰痛は、脊椎カリエスによるものだったようですが、本人は、リウマチと思っていました。奈良の宿で「晩鐘や寺の熟柿の落つる音」とまず詠みました。奈良という古都と柿との配合に子規は新鮮さを感じたようです。この句の改案が上掲の「柿くへば」です。この鐘の音は実際には東大寺の鐘だったようですが、翌日法隆寺に行って、東大寺とするより法隆寺とした方がふさわしいと思って、そう直したということです。子規は写生の唱導者ではあっても事実通りの体験に固執したわけではないのでした。,村井和一,法隆寺の茶店に憩ひて
漱石が来て虚子が来て大三十日（おほみそか）,正岡子規,大晦日,冬,寒山落木,,,,
枯薄ここらよ昔不破の関,正岡子規,枯薄,冬,寒山落木,,,,
元日の人通りとはなりにけり,正岡子規,元日,新年,寒山落木,,,,
春風にこぼれて赤し歯磨粉,正岡子規,春風,春,寒山落木,,,,
春の夜や屏風の陰に物の息,正岡子規,春の夜,春,寒山落木,妖怪体,,,妖怪体
一桶の藍流しけり春の川,正岡子規,春の川,春,寒山落木,,,,
春雨のわれまぼろしに近き身ぞ,正岡子規,春雨,春,寒山落木,,,,
夏嵐机上の白紙飛び尽す,正岡子規,夏嵐,夏,寒山落木,,,,
美服して牡丹に媚びる心あり,正岡子規,牡丹,夏,寒山落木,,,,
しんとして牡丹崩るる夜中哉,正岡子規,牡丹,夏,寒山落木,,,,
行く秋の鐘つき料を取りに来る,正岡子規,行く秋,秋,寒山落木,,,,
蟷螂や二つ向きあふ石の上,正岡子規,蟷螂,秋,寒山落木,,,,
梨むくや甘き雫の刃を垂るる,正岡子規,梨,秋,寒山落木,,,,
しぐるるや蒟蒻冷えて臍の上,正岡子規,時雨,冬,寒山落木,,,,
小夜時雨上野を虚子の来つつあらん,正岡子規,小夜時雨,冬,寒山落木,,,,
雪降るよ障子の穴を見てあれば,正岡子規,雪,冬,寒山落木,,,,
いくたびも雪の深さを尋ねけり,正岡子規,雪,冬,寒山落木,,,,
四時に烏五時に雀夏の夜は明けぬ,正岡子規,夏の夜,夏,俳句稿,,,,
つり鐘の蔕（へた）のところが渋かりき,正岡子規,柿,秋,俳句稿,つりがねといふ柿をもらひて,,,つりがねといふ柿をもらひて
三千の俳句を閲（けみ）し柿二つ,正岡子規,柿,秋,俳句稿,,,,
ある僧の月を待たずに帰りけり,正岡子規,月,秋,俳句稿,旧暦八月十七日元光院,,,旧暦八月十七日元光院
この頃の蕣（あさがほ）藍に定まりぬ,正岡子規,朝顔,秋（夏）,俳句稿,,,,
押分けて行けは行かるる萩の原,正岡子規,萩,秋,俳句稿,,,,
鶏頭の黒きにそそぐ時雨かな,正岡子規,時雨,冬,俳句稿,,,,
春雨や傘さして見る絵草子屋,正岡子規,春雨,春,俳句稿,,,,
雪残る頂き一つ国境,正岡子規,残雪,春,俳句稿,,,,
林檎くふて牡丹の前に死なん哉,正岡子規,林檎,秋,俳句稿,,,,
春風や阿波へ渡りの旅役者,正岡子規,春風,春,俳句稿,,,,
菜の花や小学校の昼餉時,正岡子規,菜の花,春,俳句稿,,,,
のどかさやつついて見たる蟹の穴,正岡子規,長閑,春,俳句稿,,,,
藤の花長うして雨ふらんとす,正岡子規,藤の花,春,俳句稿,,,,
薔薇の香の紛々（ふんぷん）として眠られず,正岡子規,薔薇,夏,俳句稿,,,,
鶏頭の十四五本もありぬべし,正岡子規,鶏頭,秋,俳句稿,,,,
行く春ややぶれかぶれの迎酒,正岡子規,行く春,春,俳句稿,,,,
五月雨や上野の山も見あきたり,正岡子規,五月雨,夏,未定稿,,,,
鶏頭ノマダイトケナキ野分カナ,正岡子規,野分,秋,未定稿,,,,
イモウトノ帰リ遅サヨ五日月,正岡子規,月,秋,未定稿,,,,
首あげて折々見るや庭の萩,正岡子規,萩,秋,未定稿,,,,
活きた目をつつきに来るか蠅の声,正岡子規,蠅,夏,未定稿,,,,
糸瓜咲て痰のつまりし仏かな,正岡子規,糸瓜,秋,未定稿,,,,
痰一斗糸瓜の水も間に合はず,正岡子規,糸瓜,秋,未定稿,,,,
をととひのへちまの水も取らざりき,正岡子規,糸瓜,秋,未定稿,,,,
雀子や走りなれたる鬼瓦,内藤鳴雪,雀の子,春,鳴雪俳句,,,,
夏山の大木倒す谺かな,内藤鳴雪,夏山,夏,鳴雪俳句,,,,
我が声の吹き戻さるる野分かな,内藤鳴雪,野分,秋,鳴雪俳句,,,,
初冬の竹緑なり詩仙堂,内藤鳴雪,初冬,冬,鳴雪俳句集,,,,
蛍狩われを小川に落しけり,夏目漱石,蛍,夏,漱石俳句集,,,,
鳴くならば満月になけほととぎす,夏目漱石,時鳥,夏,漱石俳句集,,,,
罌粟の花さやうに散るは慮外なり,夏目漱石,罌粟の花,夏,漱石俳句集,,,,
何となく寒いと我は思ふのみ,夏目漱石,寒し,冬,漱石俳句集,,,,
あんかう（鮟鱇）や孕み女の釣るし斬り,夏目漱石,鮟鱇,冬,漱石俳句集,,,,
東西南北より吹雪かな,夏目漱石,吹雪,冬,漱石俳句集,,,,
親展の状燃え上る火鉢哉,夏目漱石,火鉢,冬,漱石俳句集,,,,
叩かれて昼の蚊を吐く木魚哉,夏目漱石,蚊,夏,漱石俳句集,,,,
降る雪よ今宵ばかりは積れかし　（逢恋）,夏目漱石,雪,冬,漱石俳句集,,,,
忘れしか知らぬ顔して畠打つ　（絶恋）,夏目漱石,畠打,春,漱石俳句集,,,,
行春を琴掻き鳴らし掻き乱す　（恨恋）,夏目漱石,行く春,春,漱石俳句集,,,,
うかうかと我門過る月夜かな,夏目漱石,月夜,秋,漱石俳句集,,,,
永き日や欠伸うつして別れ行く,夏目漱石,永き日,春,漱石俳句集,,,,
枯野原汽車に化けたる狸あり,夏目漱石,枯野,冬,漱石俳句集,,,,
凩や海に夕日を吹き落す,夏目漱石,凩,冬,漱石俳句集,,,,
人に死し鶴に生れて冴え返る,夏目漱石,冴え返る,春,漱石俳句集,,,,
寒山か拾得か蚊に螫（さ）されしは,夏目漱石,蚊,夏,漱石俳句集,,,,
ふるひ寄せて白魚崩れんばかりなり,夏目漱石,白魚,春,漱石俳句集,,,,
落ちさまに（あぶ）を伏せたる椿哉,夏目漱石,椿,春,漱石俳句集,,,,
木瓜咲くや漱石拙（せつ）を守るべく,夏目漱石,木瓜,春,漱石俳句集,,,,
菫程な小さき人に生れたし,夏目漱石,薫,春,漱石俳句集,,,,
仏性は白き桔梗にこそあらめ,夏目漱石,桔梗,秋,漱石俳句集,,,,
月に行く漱石妻を忘れたり,夏目漱石,月,秋,漱石俳句集,,,,
某（それがし）は案山子にて候雀どの,夏目漱石,案山子,秋,漱石俳句集,,,,
ぶつぶつと大いなる田螺の不平かな,夏目漱石,田螺,春,漱石俳句集,,,,
行く年や猫うづくまる膝の上,夏目漱石,行く年,冬,漱石俳句集,,,,
草山に馬放ちけり秋の空,夏目漱石,秋の空,秋,漱石俳句集,,,,
秋の川真白な石を拾ひけり,夏目漱石,秋の川,秋,漱石俳句集,,,,
剥製の鵙鳴かなくに昼淋し,夏目漱石,鵙,秋,漱石俳句集,,,,
或夜雛娶りけり白い酒,夏目漱石,雛,春,漱石俳句集,,,,
霧黄なる市（まち）に動くや影法師,夏目漱石,霧,秋,漱石俳句集,倫敦にて子規の訃報を聞きて,,,倫敦にて子規の訃報を聞きて
無人島の天子とならば涼しかろ,夏目漱石,涼し,夏,漱石俳句集,,,,
能もなき教師とならんあら涼し,夏目漱石,涼し,夏,漱石俳句集,,,,
物いはぬ人と生れて打つ畠か,夏目漱石,畑打,春,漱石俳句集,,,,
春の水岩を抱いて流れけり,夏目漱石,春の水,春,漱石俳句集,,,,
わが影の吹かれて長き枯野かな,夏目漱石,枯野,冬,漱石俳句集,,,,
別るるや夢一筋の天の川,夏目漱石,天の川,秋,漱石俳句集,,,,
秋の江に打ち込む杭の響かな,夏目漱石,秋の江,秋,漱石俳句集,,,,
秋風や唐紅の咽喉仏（のどぼとけ）,夏目漱石,秋風,秋,漱石俳句集,,,,
秋風やひびの入りたる胃の袋,夏目漱石,秋風,秋,漱石俳句集,,,,
立秋の紺落ち付くや伊予絣,夏目漱石,立秋,秋（夏）,漱石俳句集,,,,
洪水のあとに色なき茄子かな　（病後対鏡）,夏目漱石,茄子,秋,漱石俳句集,,,,
生きて仰ぐ空の高さよ赤蜻蛉,夏目漱石,赤蜻蛉,秋,漱石俳句集,,,,
肩に来て人懐かしや赤蜻蛉,夏目漱石,赤蜻蛉,秋,漱石俳句集,,,,
病んで夢む天の川より出水かな,夏目漱石,天の川,秋,漱石俳句集,,,,
腸（はらわた）に春滴るや粥の味,夏目漱石,春,春,漱石俳句集,,,,
秋風や屠（ほふ）られに行く牛の尻,夏目漱石,秋風,秋,漱石俳句集,,,,
春の夜や妻に教はる荻江節,夏目漱石,春の夜,春,漱石俳句集,,,,
蝶の舌ゼンマイに似る暑さかな,芥川龍之介,蝶,春,澄江堂句集,,,,
木がらしや東京の日のありどころ,芥川龍之介,木枯,冬,澄江堂句集,,,,
癆咳（らうがい）の顔美しや冬帽子,芥川龍之介,冬帽子,冬,澄江堂句集,,,,
木がらしや目刺にのこる海の色,芥川龍之介,木枯,冬,澄江堂句集,,,,
初秋の蝗つかめば柔らかき,芥川龍之介,初秋,秋,澄江堂句集,,,,
水洟や鼻の先だけ暮れ残る,芥川龍之介,水洟,冬,澄江堂句集,,,,
元日や手を洗ひをる夕ごころ,芥川龍之介,元日,新年,澄江堂句集,,,,
あかつきや蛼なきやむ屋根のうら,芥川龍之介,竃馬,秋,澄江堂句集,病中,,,病中
しぐるるや堀江の茶屋に客ひとり,芥川龍之介,時雨,冬,澄江堂句集,,,,
春雨の中や雪おく甲斐の山,芥川龍之介,春雨,春,澄江堂句集,,,,
兎も片耳垂るる大暑かな,芥川龍之介,大暑,夏,澄江堂句集,,,,
青蛙おのれもペンキぬりたてか,芥川龍之介,雨蛙,夏,芥川龍之介全集９,,大正７年作。芥川は我鬼と号して数々の俳句を作っている。この句は、ルナールの『博物誌』にある「蛙―ペンキ塗りたてご用心」の換骨脱胎である。本歌取り的手法ともいえる。この句、作者は得意だったらしく、大正８年８月１５日の秦豊吉宛の手紙に「この頃（中略)君の水仙の句にも劣らず名句を盛に吐き居り候へば左に一二を録すべく御感服御嘆賞御愛吟御勝手たるべく候」として何句かあげた中にこの句もあげている。更にこの句だけに註記をつけて、「この句天下有名なり俗人の為に註す事然り」と書いている。芥川は知人への書状に俳句をそえることが多かったから、上記の戯文も俳句で友人への戯れを仕掛けているのである。この句を作ったころ芥川は鎌倉に住んでいた。俳句については虚子の斧正を乞うていた。この句、「ホトトギス」にも掲載されたという。,村井和一,
胸中の凩咳となりにけり,芥川龍之介,凩,冬,芥川龍之介全集１０,,,,
帰らなんいざ草の庵は春の風　（学校（教師）をやめる）,芥川龍之介,春の風,春,芥川龍之介全集１１,,,,
拾得は焚き寒山は掃く落葉,芥川龍之介,落葉,冬,芥川龍之介全集１２,,,,
暁や北斗を浸す春の潮,松瀬青々,春の潮,春,妻木,,,,
ふらここや少し汗出る戀衣,松瀬青々,鞦韆,春（通季）,妻木,,,,
夕立は貧しき町を洗ひ去る,松瀬青々,夕立,夏,妻木,,,,
貝寄風や愚な貝もよせてくる,松瀬青々,貝寄風,春,鳥の巣,,,,
蟻穴を出て地歩くや東大寺,松瀬青々,蟻,夏,鳥の巣,,,,
短夜の浮藻うごかす小蝦かな,松瀬青々,短夜,夏,鳥の巣,,,,
女房のふところ恋ひし春の暮,松瀬青々,春の暮,春,松苗,,,,
桃の花を満面に見る女かな,松瀬青々,桃の花,春,松苗,,,,
鞦韆（ふらここ）にこぼれて見ゆる胸乳かな,松瀬青々,鞦韆,春（通季）,松苗,,,,
日盛りに蝶のふれ合ふ音すなり,松瀬青々,日盛,夏,松苗,,,,
この国に恋の茂兵衛やほととぎす,松瀬青々,時鳥,夏,松苗,,,,
春雨の衣桁に重し恋衣,高浜虚子,春雨,春,五百句,,,,
怒濤岩を噛む我を神かと朧の夜,高浜虚子,朧の夜,春,五百句,,,,
海に入りて生れかはらう朧月,高浜虚子,朧月,春,五百句,,,,
大根の花紫野大徳寺,高浜虚子,大根の花,春,五百句,,,,
先生が瓜盗人でおはせしか,高浜虚子,瓜,夏,五百句,,,,
盗んだる案山子の笠に雨急なり,高浜虚子,案山子,秋,五百句,,,,
蛇穴を出て見れば周の天下なり,高浜虚子,蛇穴を出ず,春,五百句,,,,
穴を出る蛇を見て居（お）る鴉かな,高浜虚子,蛇穴を出ず,春,五百句,,,,
柴漬（ふしづけ）に見るもかなしき小魚かな,高浜虚子,紫漬,冬,五百句,,,,
亀鳴くや皆愚かなる村のもの,高浜虚子,亀鳴く,春,五百句,,,,
蓑虫よ父よと鳴きて母もなし,高浜虚子,蓑虫,秋,五百句,,,,
遠山に日の当りたる枯野かな,高浜虚子,枯野,冬,五百句,,,,
秋風や眼中のもの皆俳句,高浜虚子,秋風,秋,五百句,,,,
ほろほろと泣き合ふ尼や山葵漬,高浜虚子,山葵漬,春,五百句,,,,
大海のうしほはあれど旱かな,高浜虚子,早,夏,五百句,,,,
むづかしき禅門出れば葛の花,高浜虚子,葛の花,秋,五百句,,,,
秋風にふえてはへるや法師蟬,高浜虚子,法師蟬,秋,五百句,,,,
鎌とげば藜（あかざ）悲しむけしきかな,高浜虚子,藜,夏,五百句,,,,
行水の女にほれる烏かな,高浜虚子,行水,夏,五百句,,,,
村の名も法隆寺なり麦を蒔く,高浜虚子,麦蒔,冬,五百句,,,,
芳草や黒き烏も濃紫,高浜虚子,芳草,春,五百句,,,,
桐一葉日当りながら落ちにけり,高浜虚子,桐一葉,秋,五百句,,,,
秋扇や寂しき顔の賢夫人,高浜虚子,秋扇,秋,五百句,,,,
秋空を二つに断てり椎大樹,高浜虚子,秋風,秋,五百句,,,,
金亀子（こがねむし）擲（なげう）つ闇の深さかな,高浜虚子,金亀子,夏,五百句,,,,
新涼の驚き貌に来りけり,高浜虚子,新涼,秋,五百句,,,,
凡（およ）そ天下に去来程の小さき墓に参りけり,高浜虚子,墓参,秋,五百句,,,,
霜降れば霜を楯とす法（のり）の城,高浜虚子,霜,冬,五百句,,,,
死神を蹴る力無き蒲団かな,高浜虚子,蒲団,冬,五百句,,,,
春風や闘志いだきて丘に立つ,高浜虚子,春風,春,五百句,,,,
大寺を包みてわめく木の芽かな,高浜虚子,木の芽,春,五百句,,,,
一つ根に離れ浮く葉や春の水,高浜虚子,春の水,春,五百句,,,,
古庭を魔になかへしそ蟇,高浜虚子,蟇,夏,五百句,,,,
年を以て巨人としたり歩み去る,高浜虚子,年去る,冬,五百句,,,,
我心或時軽し罌粟の花,高浜虚子,罌粟,夏,五百句,,,,
コレラ怖ぢて奇麗に住める女かな,高浜虚子,コレラ,夏,五百句,,,,
一人の強者唯（ただ）出よ秋の風,高浜虚子,秋の風,秋,五百句,,,,
葡萄の種吐き出して事を決しけり,高浜虚子,葡萄,秋,五百句,,,,
これよりは恋や事業や水温む,高浜虚子,水温む,春,五百句,,,,
大空に又わき出でし小鳥かな,高浜虚子,小鳥,秋,五百句,,,,
木曽川の今こそ光れ渡り鳥,高浜虚子,渡り鳥,秋,五百句,,,,
闇汁の杓子を逃げしものや何,高浜虚子,闇汁,冬,五百句,,,,
蛇逃げて我を見し眼の草に残る,高浜虚子,蛇,夏,五百句,,,,
天の川のもとに天智天皇と虚子と,高浜虚子,天の川,秋,五百句,,,,
雨の中に立春大吉の光あり,高浜虚子,立春大吉,春（冬）,五百句,,,,
鞦韆に抱き乗せて沓に接吻す,高浜虚子,ぶらんこ,春（通季）,五百句,,,,
野を焼いて帰れば燈火母やさし,高浜虚子,野焼,春,五百句,,,,
能すみし面の衰へ暮の秋,高浜虚子,暮の秋,秋,五百句,,,,
秋天の下に野菊の花弁欠く,高浜虚子,秋の空,秋,五百句,,,,
我を指す人の扇をにくみけり,高浜虚子,扇,夏,五百句,,,,
冬帝（とうてい）先ず日をなげかけて駒ケ岳,高浜虚子,冬帝,冬,五百句,,,,
どかと解く夏帯に句を書けとこそ,高浜虚子,夏帯,夏,五百句,,,,
天日のうつりて暗し蝌蚪の水,高浜虚子,蝌蚪,春,五百句,,,,
晩涼に池の萍（うきくさ）皆動く,高浜虚子,晩涼,秋,五百句,,,,
月浴びて玉崩れをる噴井かな,高浜虚子,噴井,夏,五百句,,,,
北風や石を敷きたるロシア町,高浜虚子,北風,冬,五百句,,,,
春寒のよりそひ行けば人目ある,高浜虚子,春寒,春,五百句,,,,
白（はく）牡丹といふといへども紅（こう）ほのか,高浜虚子,牡丹,夏,五百句,,,,
鴬や洞然として昼霞,高浜虚子,鶯,春,五百句,,,,
底の石ほと動き湧く清水かな,高浜虚子,清水,夏,五百句,,,,
大空に伸び傾ける冬木かな,高浜虚子,冬木,冬,五百句,,,,
ものの芽のあらはれ出でし大事かな,高浜虚子,ものの芽,春,五百句,,,,
なつかしきあやめの水の行方かな,高浜虚子,菖蒲,夏,五百句,,,,
わだつみに物の命のくらげかな,高浜虚子,海月,夏,五百句,,,,
やり羽子や油のやうな京言葉,高浜虚子,羽子板,新年,五百句,,,,
東山静に羽子の舞ひ落ちぬ,高浜虚子,羽子板,新年,五百句,,,,
おもひ川渡れば叉も花の雨,高浜虚子,花の雨,春,五百句,,,,
新涼や仏にともし奉る,高浜虚子,新涼,秋,五百句,,,,
ふるさとの月の港をよぎるのみ,高浜虚子,月,秋,五百句,,,,
はなやぎて月の面にかかる雲,高浜虚子,月,秋,五百句,,,,
われが来し南の国のザボンかな,高浜虚子,朱戀,冬,五百句,,,,
流れ行く大根の葉の早さかな,高浜虚子,大根,冬,五百句,,,,
此村を出でばやと思ふ畦を焼く,高浜虚子,畦焼,春,五百句,,,,
眼つむれば若き我あり春の宵,高浜虚子,春の宵,春,五百句,,,,
旧城市柳絮とぶことしきりなり,高浜虚子,柳絮,春,五百句,,,,
夕立や森を出で来る馬車一つ,高浜虚子,夕立,夏,五百句,,,,
石ころも露けきものの一つかな,高浜虚子,露,秋,五百句,,,,
栞して山家集あり西行忌,高浜虚子,西行忌,春,五百句,,,,
春潮といへば必ず門司を思ふ,高浜虚子,春潮,春,五百句,,,,
炎天の空美しや高野山,高浜虚子,炎天,夏,五百句,,,,
闇なれば衣まとふ間の裸かな,高浜虚子,裸,夏,五百句,,,,
もの言ひて露けき夜と覚えたり,高浜虚子,露,秋,五百句,,,,
大試験山の如くに控へたり,高浜虚子,大試験,春,五百句,,,,
紅梅の紅の通へる幹ならん,高浜虚子,紅梅,春,五百句,,,,
火の山の裾に夏帽振る別れ,高浜虚子,夏帽子,夏,五百句,,,,
われの星燃えてをるなり星月夜,高浜虚子,星月夜,秋,五百句,,,,
酒うすしせめては燗を熱うせよ,高浜虚子,熱燗,冬,五百句,,,,
鷹の目の佇む人に向はざる,高浜虚子,鷹,冬,五百句,,,,
聾青畝ひとり離れて花下に笑む,高浜虚子,花,春,五百句,,,,
春の浜大いなる輪が画いてある,高浜虚子,春の浜,春,五百句,,,,
自から其頃となる釣忍,高浜虚子,釣忍,夏,五百句,,,,
くはれもす八雲旧居の秋の蚊に,高浜虚子,秋の蚊,秋,五百句,,,,
襟巻の狐の顔は別にあり,高浜虚子,襟巻,冬,五百句,,,,
鴨の嘴（はし）よりたらたらと春の泥,高浜虚子,春泥,春,五百句,,,,
神にませばまこと美はし那智の滝,高浜虚子,滝,夏,五百句,,,,
囀や絶えず二三羽こぼれ飛び,高浜虚子,囀,春,五百句,,,,
浴衣着て少女の乳房高からず,高浜虚子,浴衣,夏,五百句,,,,
バス来るや虹の立ちたる湖畔村,高浜虚子,虹,夏,五百句,,,,
顔抱いて犬が寝てをり菊の宿,高浜虚子,菊,秋,五百句,,,,
白雲と冬木と終にかかはらず,高浜虚子,冬木,冬,五百句,,,,
玉虫の光残して飛びにけり,高浜虚子,玉虫,夏,五百句,,,,
大いなるものが過ぎ行く野分かな,高浜虚子,野分,秋,五百句,,,,
川を見るバナナの皮は手より落ち,高浜虚子,バナナ,夏,五百句,,,,
神慮今鳩をたたしむ初詣,高浜虚子,初詣,新年,五百句,,,,
一を知つて二を知らぬなり卒業す,高浜虚子,卒業,春,五百句,,,,
道のべに阿波の遍路の墓あはれ,高浜虚子,遍路,春,五百句,,,,
かわかわと大きくゆるく寒鴉,高浜虚子,寒鴉,冬,五百句,,,,
大空に羽子の白妙とどまれり,高浜虚子,羽子,新年,五百句,,,,
餅も好き酒もすきなりけさの春,高浜虚子,今朝の春,新年,「五百句時代」朝日文庫,,,,
大紅蓮大白蓮の夜明かな,高浜虚子,蓮の花,夏,「五百句時代」朝日文庫,,,,
短夜の星が飛ぶなり顔の上,高浜虚子,短夜,夏,「五百句時代」朝日文庫,,,,
蝶々のもの食ふ音の静かさよ,高浜虚子,蝶,春,「五百句時代」朝日文庫,,,,
行春や畳んで古き恋衣,高浜虚子,行春,春,「五百句時代」朝日文庫,,,,
絵ぶみして生き残りたる女かな,高浜虚子,踏絵,春,「五百句時代」朝日文庫,,,,
宮柱太しく立ちて神無月,高浜虚子,神無月,秋（冬）,「五百句時代」朝日文庫,,,,
兄弟の心異る寒さかな,高浜虚子,寒さ,冬,「五百句時代」朝日文庫,,,,
山深く狂女に逢へり葛の花,高浜虚子,葛の花,秋,「五百句時代」朝日文庫,,,,
放屁虫俗論党を憎みけり,高浜虚子,放屁虫,秋,「五百句時代」朝日文庫,,,,
地球凍てぬ月光之を照しけり,高浜虚子,凍つ,冬,「五百句時代」朝日文庫,,,,
初空や大悪人虚子の頭上に,高浜虚子,初空,新年,「五百句時代」朝日文庫,,,,
其中に金鈴をふる虫一つ,高浜虚子,虫,秋,「五百句時代」朝日文庫,,,,
波音の由比ケ浜より初電車,高浜虚子,初電車,新年,「五百句時代」朝日文庫,,,,
早春の庭をめぐりて門を出でず,高浜虚子,早春,春,「五百句時代」朝日文庫,,,,
この庭の遅日の石のいつまでも,高浜虚子,遅日,春,「五百句時代」朝日文庫,,,,
箱庭の人に古りゆく月日かな,高浜虚子,箱庭,夏,「五百句時代」朝日文庫,,,,
咲き満ちてこぼるる花もなかりけり,高浜虚子,花,春,「五百句時代」朝日文庫,,,,
狐火の出てゐる宿の女かな,高浜虚子,狐火,冬,「五百句時代」朝日文庫,,,,
春燈の下に我あり汝あり,高浜虚子,春燈,春,「五百句時代」朝日文庫,,,,
宇治川をわたりおほせし胡蝶かな,高浜虚子,胡蝶,春,「五百句時代」朝日文庫,,,,
大濤にをどり現れ初日の出,高浜虚子,初日の出,新年,「五百句時代」朝日文庫,,,,
鴨の中の一つの鴨を見てゐたり,高浜虚子,鴨,冬,五百五十句,,,,
命かけて芋虫憎む女かな,高浜虚子,芋虫,秋,五百五十句,,,,
飛んで来る物恐ろしき野分かな,高浜虚子,野分,秋,五百五十句,,,,
翡翠の紅一点につづまりぬ,高浜虚子,翡翠,夏（通季）,五百五十句,,,,
歌留多とる皆美しく負けまじく,高浜虚子,歌留多,新年,五百五十句,,,,
たとふれば独楽のはじける如くなり,高浜虚子,独楽,新年,五百五十句,碧梧桐とはよく親しみよく争ひたり,,,碧梧桐とはよく親しみよく争ひたり
稲妻をふみて跣足の女かな,高浜虚子,稲妻,秋,五百五十句,,,,
老人と子供と多し秋祭,高浜虚子,秋祭,秋,五百五十句,,,,
行年や歴史の中に今我あり,高浜虚子,行年,冬,五百五十句,,,,
焚火かなし消えんとすれば育てられ,高浜虚子,焚火,冬,五百五十句,,,,
旗のごとなびく冬日をふと見たり,高浜虚子,冬日,冬,五百五十句,,,,
己が羽の抜けしを啣（くわ）へ羽抜鶏,高浜虚子,羽抜鶏,夏,五百五十句,,,,
秋風や心の中の幾山河,高浜虚子,秋風,秋,五百五十句,,,,
もの置けばそこに生れぬ秋の蔭,高浜虚子,秋,秋,五百五十句,,,,
龍の玉深く蔵すといふことを,高浜虚子,龍の玉,冬,五百五十句,,,,
春水をたたけばいたく窪むなり,高浜虚子,春水,春,五百五十句,,,,
運命は笑ひ待ちをり卒業す,高浜虚子,卒業,春,五百五十句,,,,
初蝶を夢の如くに見失ふ,高浜虚子,初蝶,春,五百五十句,,,,
虫螻蛄と侮られつつ生を享（う）く,高浜虚子,虫,秋,五百五十句,,,,
鳰（にお）がゐて鳰の海とは昔より,高浜虚子,鳰,冬,五百五十句,,,,
秋風やとある女の或る運命,高浜虚子,秋風,秋,五百五十句,,,,
手鞠唄かなしきことをうつくしく,高浜虚子,手鞠唄,新年,五百五十句,,,,
大寒の埃の如く人死ぬる,高浜虚子,大寒,冬,五百五十句,,,,
松過ぎの又も光陰矢の如く,高浜虚子,松過ぎ,新年,五百五十句,,,,
秋風や心激して口吃る,高浜虚子,秋風,秋,五百五十句,,,,
よろよろと棹がのぼりて柿挟む,高浜虚子,柿,秋,五百五十句,,,,
北風に人細り行き曲り消え,高浜虚子,北風,冬,五百五十句,,,,
大根を水くしやくしやにして洗ふ,高浜虚子,大根,冬,六百句,,,,
向日葵が好きで狂ひて死にし画家,高浜虚子,向日葵,夏,六百句,,,,
悲しさはいつも酒気ある夜学の師,高浜虚子,夜学,秋,六百句,,,,
寒鯉の一擲したる力かな,高浜虚子,寒鯉,冬,六百句,,,,
白酒の紐の如くにつがれけり,高浜虚子,白酒,春,六百句,,,,
土塊を一つ動かし物芽出づ,高浜虚子,物の芽,春,六百句,,,,
虹消えて忽ち君の無き如し,高浜虚子,虹,夏,六百句,,,,
山国の蝶を荒しと思はずや,高浜虚子,蝶,春,六百句,,,,
日のくれと子供が言ひて秋の暮,高浜虚子,秋の暮,秋,六百句,,,,
